letter,font,scale_y_letter,scale_y_font,min_x,min_y,max_x,max_y
B,Mshtakan,1.515151515,1.484788007,406,436,576,632
B,MshtakanBold,1.481481481,1.443884217,408,433,582,628
B,MshtakanBoldOblique,1.503759398,1.460703649,395,435,585,630
B,MshtakanOblique,1.538461538,1.503372519,405,438,585,634
B,Muna,1.388888889,1.357285039,447,404,566,599
B,MunaBlack,1.388888889,1.357285039,439,404,574,599
B,MunaBold,1.388888889,1.357285039,439,404,574,599
B,MyanmarMN,1.550387597,1.517378862,426,451,586,647
B,MyanmarSangamMN,1.470588235,1.450327477,434,436,576,633
B,MyriadArabic-Regular,2.06185567,2.058044128,442,440,567,641
B,MyriadHebrew-Regular,1.459854015,1.470704313,442,411,567,612
B,MyriadPro-Regular,1.459854015,1.471506347,442,411,567,612
B,Nadeem,1.388888889,1.357285039,447,429,566,624
B,NewPeninimMT,1.388888889,1.357285039,447,403,566,598
B,Noteworthy-Light,1.142857143,1.125474972,434,450,562,648
B,NotoNastaliqUrdu,1.388888889,1.357285039,447,563,566,758
B,NuevaStd-Cond,1.612903226,1.599716912,439,410,557,609
B,OCRAStd,1.290322581,1.290004454,436,400,563,600
B,Optima-Regular,1.459854015,1.423112574,438,435,565,631
B,OratorStd,1.503759398,1.481003851,447,401,560,598
B,OriyaMN,1.550387597,1.517378862,426,438,586,634
