letter,font,min_x,min_y,max_x,max_y
A,PingFangSC-Regular,434,463,565,605
A,PingFangTC-Regular,434,463,565,605
A,PlantagenetCherokee,428,430,571,571
A,PoplarStd,450,427,549,576
A,PrestigeEliteStd-Bd,443,434,556,565
A,Raanana,430,437,569,571
A,RaananaBold,431,434,567,571
A,Roboto-Regular,437,450,562,592
A,Rockwell-Regular,422,420,576,567
A,RosewoodStd-Regular,445,435,567,585
A,STHeitiSC-Medium,428,421,571,573
A,STHeitiTC-Medium,428,421,571,573
A,STIXGeneral-Regular,431,471,569,605
A,STIXIntegralsD-Regular,432,574,566,718
A,STIXIntegralsSm-Regular,432,461,566,605
A,STIXIntegralsUp-Regular,432,461,566,605
A,STIXIntegralsUpD-Regular,432,574,566,718
A,STIXIntegralsUpSm-Regular,432,461,566,605
A,STIXNonUnicode-Regular,432,500,566,644
A,STIXSizeFiveSym-Regular,432,451,566,595
A,STIXSizeFourSym-Regular,432,616,566,760
A,STIXSizeOneSym-Regular,432,514,566,658
A,STIXSizeThreeSym-Regular,432,616,566,760
A,STIXSizeTwoSym-Regular,432,565,566,709
A,STIXVariants-Regular,432,461,566,605
A,STSong,431,442,565,574
A,STSongti-SC-Regular,431,462,566,594
A,Sana,432,430,566,574
A,Sathu,430,439,569,590
A,SavoyeLetPlain,427,438,565,573
A,Seravek,437,459,561,592
A,ShreeDev0714,436,445,564,592
A,SignPainter-HouseScript,458,444,548,572
A,Silom,449,446,549,595
A,SinhalaMN,435,457,564,589
A,SinhalaSangamMN,440,466,559,602
A,Skia-Regular,435,445,565,580
A,SnellRoundhand,423,451,620,595
A,StencilStd,429,425,568,574
A,SukhumvitSet-Medium,441,476,558,610
A,Superclarendon-Regular,419,449,580,597
A,Symbol,432,426,566,570
A,Tahoma,439,455,560,600
A,TamilMN,435,457,564,589
A,TamilSangamMN,440,439,559,575
A,TektonPro-Bold,439,435,558,568
A,TeluguMN,435,457,564,589
A,TeluguSangamMN,436,452,564,598
A,Thonburi,430,457,569,608
A,Times-Roman,430,440,569,574
A,TimesNewRomanPS-BoldMT,429,454,570,589
A,TimesNewRomanPSMT,429,454,570,589
A,TrajanPro-Regular,424,421,576,575
A,Trattatello,443,497,562,617
A,Trebuchet-BoldItalic,429,449,555,593
A,TrebuchetMS,441,449,558,593
A,Verdana,434,455,566,600
A,Waseem,432,445,566,589
A,WaseemLight,432,445,566,589
A,Webdings,400,436,599,619
A,Wingdings-Regular,457,433,541,592
A,Wingdings2,421,477,577,541
A,Wingdings3,418,448,581,556
A,Yantramanav-Regular,443,466,556,593
A,ZapfDingbatsITC,432,437,566,581
A,Zapfino,361,453,641,728
B,ACaslonPro-Regular,440,431,553,574
B,AGaramondPro-Regular,448,440,551,573
B,AdobeArabic-Regular,461,482,537,574
B,AdobeDevanagari-Regular,452,451,546,571
B,AdobeFanHeitiStd-Bold,456,433,551,589
B,AdobeFangsongStd-Regular,447,440,550,587
B,AdobeGothicStd-Bold,453,433,554,589
B,AdobeHebrew-Regular,446,440,552,572
B,AdobeHeitiStd-Regular,456,433,551,589
B,AdobeKaitiStd-Regular,447,440,552,587
B,AdobeMingStd-Light,438,441,558,587
B,AdobeMyungjoStd-Medium,436,444,559,587
B,AdobeNaskh-Medium,457,467,538,560
B,AdobeSongStd-Light,451,462,548,587
