letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x
A,SinhalaMN,1.515151515,1.517378862,-34,0.5
A,SinhalaSangamMN,1.470588235,1.450327477,-48,0
A,Skia-Regular,1.481481481,1.501613838,-20,-0.5
A,SnellRoundhand,1.388888889,1.334622192,-28,-28.5
A,StencilStd,1.342281879,1.327682022,1,2.5
A,SukhumvitSet-Medium,1.492537313,1.472849679,-62,0.5
A,Superclarendon-Regular,1.351351351,1.330767393,-30,1
A,Symbol,1.388888889,1.357285039,6,0.5
A,Tahoma,1.379310345,1.35818516,-36,1
A,TamilMN,1.515151515,1.517378862,-34,0.5
A,TamilSangamMN,1.470588235,1.450327477,-9,0
A,TektonPro-Bold,1.503759398,1.50678574,-4,3
A,TeluguMN,1.515151515,1.517378862,-34,0.5
A,TeluguSangamMN,1.369863014,1.349660484,-33,-0.5
A,Thonburi,1.324503311,1.297495346,-40,0
A,Times-Roman,1.492537313,1.484788007,-11,0.5
A,TimesNewRomanPS-BoldMT,1.481481481,1.482880242,-32,0.5
A,TimesNewRomanPSMT,1.481481481,1.482508729,-32,0.5
A,TrajanPro-Regular,1.298701299,1.281950371,4,-0.5
A,Trattatello,1.666666667,1.615598282,-89,-4
A,Trebuchet-BoldItalic,1.388888889,1.37166371,-28,11
A,TrebuchetMS,1.388888889,1.375560028,-29,0.5
A,Verdana,1.379310345,1.35818516,-36,0.5
A,Waseem,1.388888889,1.357285039,-20,0.5
A,WaseemLight,1.388888889,1.357285039,-20,0.5
A,Webdings,1.092896175,1.261447211,-51,0.5
A,Wingdings-Regular,1.257861635,1.469388249,-36,0
A,Wingdings2,3.125,1.618312702,34,0
A,Wingdings3,1.851851852,1.899762496,-8,0
A,Yantramanav-Regular,1.57480315,1.556239946,-45,1
A,ZapfDingbatsITC,1.388888889,1.357285039,-10,0.5
A,Zapfino,0.727272727,0.787688138,-80,-0.5
B,ACaslonPro-Regular,1.398601399,1.358742545,0,5
B,AGaramondPro-Regular,1.503759398,1.452846117,-6,1
B,AdobeArabic-Regular,2.173913043,2.103309865,-57,0.5
B,AdobeDevanagari-Regular,1.666666667,1.616004432,-16,0.5
B,AdobeFanHeitiStd-Bold,1.282051282,1.294155249,-15,-4
B,AdobeFangsongStd-Regular,1.360544218,1.32935918,-17,1
B,AdobeGothicStd-Bold,1.282051282,1.289151574,-15,-3.5
B,AdobeHebrew-Regular,1.515151515,1.469420142,-6,2
B,AdobeHeitiStd-Regular,1.282051282,1.294155249,-15,-4
B,AdobeKaitiStd-Regular,1.360544218,1.328869443,-17,1
B,AdobeMingStd-Light,1.369863014,1.353526288,-19,3
B,AdobeMyungjoStd-Medium,1.398601399,1.369850432,-20,3
B,AdobeNaskh-Medium,2.150537634,2.10559556,-26,5
B,AdobeSongStd-Light,1.6,1.551189852,-36,1
B,AlBayan,1.388888889,1.357285039,-34,-6.5
B,AlNile,1.388888889,1.357285039,-12,-6.5
B,AlTarikh,1.388888889,1.357285039,25,-6.5
B,AmericanTypewriter,1.481481481,1.449054543,-33,5
B,AndaleMono,1.459854015,1.438215154,-30,-4.5
B,Apple-Chancery,1.459854015,1.370502132,-55,-2.5
B,AppleBraille,1.324503311,1.297086098,-1,-0.5
B,AppleColorEmoji,1.324503311,1.297086098,-29,-0.5
B,AppleGothic,1.282051282,1.267837982,-13,0
B,AppleMyungjo,1.388888889,1.360017343,-18,1.5
B,AppleSDGothicNeo-Regular,1.492537313,1.475586221,-20,-5.5
B,AppleSymbols,1.869158879,1.830990553,-21,-1.5
B,Arial-Black,1.398601399,1.382812535,-52,-3.5
B,ArialHebrew,1.388888889,1.357285039,2,-6.5
B,ArialHebrewScholar,1.388888889,1.357285039,2,-6.5
B,ArialMT,1.398601399,1.384324744,-25,-2.5
B,ArialNarrow,1.398601399,1.384324744,-29,-1.5
B,ArialRoundedMTBold,1.398601399,1.359660112,-28,-3.5
B,ArialUnicodeMS,1.398601399,1.384324744,-48,-3
B,Athelas-Regular,1.526717557,1.482612102,-32,-0.5
B,Avenir-Black,1.418439716,1.402208199,-39,-6.5
B,AvenirNext-Regular,1.418439716,1.402208199,-39,-3
B,AvenirNextCondensed-Regular,1.418439716,1.404325479,-40,-5.5
B,Ayuthaya,1.324503311,1.296293642,-38,-0.5
B,Baghdad,1.388888889,1.357285039,-24,-6.5
B,BanglaMN,1.360544218,1.331138612,-39,-6
B,BanglaSangamMN,1.470588235,1.450327477,-17,-5
B,Baskerville,1.503759398,1.465791626,-31,3.5
B,Beirut,1.388888889,1.357285039,-3,-6.5
