letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x,score
A,KozMinPro-Regular,1.333333333,1.328869443,-17,0.5,76
A,STSong,1.515151515,1.529925851,-14,3,76
A,Champagne&Limousines,1.449275362,1.426650747,-18,1.5,77
A,PTSerif-Regular,1.408450704,1.395899657,-41,0,77
A,STSongti-SC-Regular,1.515151515,1.529925851,-45,2.5,77
A,AGaramondPro-Regular,1.470588235,1.452846117,-6,2,78
A,AdobeArabic-Regular,2.127659574,2.103309865,-57,0,78
A,AdobeDevanagari-Regular,1.62601626,1.616004432,-16,0.5,78
A,AdobeHebrew-Regular,1.481481481,1.469420142,-6,0.5,78
A,MinionPro-Regular,1.515151515,1.504111734,-9,0,78
A,TrajanPro-Regular,1.298701299,1.281950371,4,-0.5,78
A,ACaslonPro-Regular,1.342281879,1.358742545,0,0.5,79
A,Athelas-Regular,1.503759398,1.482612102,-32,0.5,79
A,Cochin,1.492537313,1.493294713,-36,0,79
A,Georgia,1.428571429,1.419786766,-30,0,79
A,Marion-Regular,1.481481481,1.481397248,-3,-0.5,79
A,Menlo-Regular,1.379310345,1.359633448,-26,1,79
A,PrestigeEliteStd-Bd,1.526717557,1.642658376,-7,0.5,79
A,STHeitiSC-Medium,1.315789474,1.347612508,0,1,79
A,STHeitiTC-Medium,1.315789474,1.347612508,0,1,79
A,AdobeFanHeitiStd-Bold,1.315789474,1.294155249,-13,1,80
A,AdobeHeitiStd-Regular,1.315789474,1.294155249,-13,1,80
A,Herculanum,1.666666667,1.610751794,-27,0.5,80
A,Kefa-Regular,1.492537313,1.46354013,-36,0.5,80
A,PlantagenetCherokee,1.418439716,1.431334656,-1,1.5,80
A,DINAlternate-Bold,1.408450704,1.40062026,-31,0,81
A,Futura-Medium,1.25,1.29743116,-34,0.5,82
A,LetterGothicStd,1.342281879,1.37754756,-2,0.5,82
A,Chalkduster,1.307189542,1.243826212,-33,1.5,83
A,CharlemagneStd-Bold,1.418439716,1.305029995,8,2,83
A,Didot,1.379310345,1.378915942,-29,0.5,84
A,HoeflerText-Regular,1.408450704,1.394658692,-2,0.5,85
A,Lucida Bright Demibold,1.379310345,1.353740375,-28,0.5,86
A,AdobeNaskh-Medium,2.173913043,2.10559556,-24,0.5,87
A,CourierNewPSMT,1.754385965,1.72378469,-43,1,88
